Generation,evals,avg,std,min,max,best_one,fitness_best_one
98,318,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
99,338,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
100,340,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
101,324,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
102,350,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
103,320,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
104,348,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
105,330,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
106,336,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
107,334,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
108,328,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
109,354,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
110,330,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
111,356,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
112,340,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
113,340,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
114,322,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
115,358,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
116,364,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
117,352,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
118,350,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
119,332,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
120,348,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
121,366,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
122,336,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
123,346,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
124,350,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
125,322,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
126,342,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
127,328,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
128,360,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
129,334,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
130,322,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
131,342,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
132,334,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
133,342,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
134,350,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
135,338,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
136,326,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
137,338,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
138,330,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
139,338,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
140,334,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
141,342,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
142,340,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
143,330,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
144,326,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
145,332,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
146,346,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
147,346,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
148,354,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
149,336,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
150,340,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
151,344,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
152,348,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
153,344,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
154,354,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
155,332,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
156,326,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
157,350,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
158,356,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
159,334,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
160,342,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
161,330,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
162,350,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
163,344,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
164,334,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
165,338,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
166,340,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
167,342,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
168,346,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
169,338,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
170,342,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
171,336,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
172,338,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
173,316,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
174,318,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
175,342,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
176,354,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
177,348,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
178,326,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
179,338,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
180,332,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
181,336,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
182,330,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
183,334,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
184,332,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
185,346,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
186,340,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
187,338,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
188,334,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
189,320,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
190,342,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
