Generation,evals,avg,std,min,max,best_one,fitness_best_one
22,332,[  7.         460.01292357],[0.         1.97407099],[  7.         451.12468581],[  7.         462.53996532],"[20, 21, 7, 9, 6, 10, 11, 8, 13, 17, 14, 4, 22, 24, 25, 15, 19, 18, 16, 12, 3, 2, 1, 5, 23]","(7.0, 451.1246858072669)"
23,340,[  7.       458.315501],[0.         2.07097759],[  7.         448.53493059],[  7.         460.18712096],"[20, 21, 2, 1, 6, 8, 11, 10, 13, 17, 14, 4, 22, 24, 25, 15, 19, 18, 16, 12, 3, 7, 9, 5, 23]","(7.0, 448.53493059377433)"
24,336,[  7.         456.76032962],[0.         2.28418484],[  7.         448.53493059],[  7.         459.06131654],"[20, 21, 2, 1, 6, 8, 11, 10, 13, 17, 14, 4, 22, 24, 25, 15, 19, 18, 16, 12, 3, 7, 9, 5, 23]","(7.0, 448.53493059377433)"
25,330,[  7.         454.71639269],[0.         1.92360398],[  7.         446.40787954],[  7.         457.56873657],"[20, 21, 2, 9, 6, 10, 11, 8, 13, 17, 14, 4, 22, 24, 25, 19, 16, 12, 15, 18, 23, 7, 1, 5, 3]","(7.0, 446.40787953841584)"
26,340,[  7.         452.91883433],[0.         1.98052514],[  7.         439.13278395],[  7.         455.33121766],"[20, 21, 7, 5, 6, 10, 11, 8, 13, 17, 3, 4, 22, 24, 25, 15, 19, 18, 16, 12, 14, 2, 1, 9, 23]","(7.0, 439.1327839519609)"
27,336,[  7.         451.40988363],[0.         2.05558739],[  7.         439.13278395],[  7.         453.51271995],"[20, 21, 7, 5, 6, 10, 11, 8, 13, 17, 3, 4, 22, 24, 25, 15, 19, 18, 16, 12, 14, 2, 1, 9, 23]","(7.0, 439.1327839519609)"
28,346,[  7.         449.89764237],[0.         2.32514012],[  7.         439.13278395],[  7.         451.12468581],"[20, 21, 7, 5, 6, 10, 11, 8, 13, 17, 3, 4, 22, 24, 25, 15, 19, 18, 16, 12, 14, 2, 1, 9, 23]","(7.0, 439.1327839519609)"
29,332,[  7.         448.39131651],[0.         2.88652514],[  7.         439.13278395],[  7.         450.99261312],"[20, 21, 7, 5, 6, 10, 11, 8, 13, 17, 3, 4, 22, 24, 25, 15, 19, 18, 16, 12, 14, 2, 1, 9, 23]","(7.0, 439.1327839519609)"
30,354,[  7.         446.15645066],[0.        3.1668635],[  7.         431.15772551],[  7.         449.51708824],"[20, 21, 10, 9, 6, 7, 11, 8, 13, 12, 14, 4, 22, 24, 25, 19, 16, 18, 15, 17, 23, 2, 1, 5, 3]","(7.0, 431.1577255128883)"
31,346,[  7.         443.64186131],[0.         3.16813138],[  7.         431.15772551],[  7.         446.40787954],"[20, 21, 10, 9, 6, 7, 11, 8, 13, 12, 14, 4, 22, 24, 25, 19, 16, 18, 15, 17, 23, 2, 1, 5, 3]","(7.0, 431.1577255128883)"
