Generation,evals,avg,std,min,max,best_one,fitness_best_one
20,192,[  7.         439.14149771],[0.         3.91846401],[  7.         425.52317539],[  7.         444.14672211],"[20, 22, 21, 8, 13, 18, 11, 16, 19, 17, 4, 3, 6, 9, 10, 12, 14, 15, 23, 25, 24, 2, 1, 7, 5]","(7.0, 425.5231753884608)"
21,222,[  7.         436.06645849],[0.         3.82187126],[  7.         425.52317539],[  7.         440.47484615],"[20, 22, 21, 8, 13, 18, 11, 16, 19, 17, 4, 3, 6, 9, 10, 12, 14, 15, 23, 25, 24, 2, 1, 7, 5]","(7.0, 425.5231753884608)"
22,204,[  7.         432.54698678],[0.         2.84903408],[  7.         422.54798706],[  7.        437.6395603],"[21, 22, 23, 8, 13, 18, 11, 16, 19, 17, 4, 3, 6, 9, 10, 12, 14, 15, 20, 25, 24, 2, 1, 7, 5]","(7.0, 422.54798705777375)"
23,208,[  7.        430.5132751],[0.        1.8884747],[  7.         422.54798706],[  7.         431.40377833],"[21, 22, 23, 8, 13, 18, 11, 16, 19, 17, 4, 3, 6, 9, 10, 12, 14, 15, 20, 25, 24, 2, 1, 7, 5]","(7.0, 422.54798705777375)"
24,208,[  7.        429.3207523],[0.         2.45866356],[  7.         422.54798706],[  7.         431.40377833],"[21, 22, 23, 8, 13, 18, 11, 16, 19, 17, 4, 3, 6, 9, 10, 12, 14, 15, 20, 25, 24, 2, 1, 7, 5]","(7.0, 422.54798705777375)"
25,222,[  7.         427.02114302],[0.         1.83968431],[  7.         422.54798706],[  7.         430.99613748],"[21, 22, 23, 8, 13, 18, 11, 16, 19, 17, 4, 3, 6, 9, 10, 12, 14, 15, 20, 25, 24, 2, 1, 7, 5]","(7.0, 422.54798705777375)"
26,216,[  7.         425.40861614],[0.         1.18686731],[  7.         422.54798706],[  7.         426.64914519],"[21, 22, 23, 8, 13, 18, 11, 16, 19, 17, 4, 3, 6, 9, 10, 12, 14, 15, 20, 25, 24, 2, 1, 7, 5]","(7.0, 422.54798705777375)"
27,200,[  7.       424.641251],[0.         1.31441547],[  7.         420.53469056],[  7.         425.52317539],"[21, 22, 23, 8, 18, 13, 11, 16, 19, 17, 4, 3, 6, 9, 10, 12, 14, 15, 20, 25, 24, 2, 1, 7, 5]","(7.0, 420.5346905610577)"
28,228,[  7.         423.72257293],[0.       1.426163],[  7.         419.19224898],[  7.         425.52317539],"[21, 22, 23, 8, 13, 18, 11, 16, 19, 17, 3, 4, 6, 9, 10, 12, 14, 15, 20, 25, 24, 2, 1, 7, 5]","(7.0, 419.1922489801319)"
29,200,[  7.         422.42514117],[0.         0.51635857],[  7.         419.19224898],[  7.         422.54798706],"[21, 22, 23, 8, 13, 18, 11, 16, 19, 17, 3, 4, 6, 9, 10, 12, 14, 15, 20, 25, 24, 2, 1, 7, 5]","(7.0, 419.1922489801319)"
30,222,[  7.         422.27069037],[0.         0.73797848],[  7.         419.19224898],[  7.         422.54798706],"[21, 22, 23, 8, 13, 18, 11, 16, 19, 17, 3, 4, 6, 9, 10, 12, 14, 15, 20, 25, 24, 2, 1, 7, 5]","(7.0, 419.1922489801319)"
31,200,[  7.         421.87150148],[0.        1.0561839],[  7.         417.91786597],[  7.         422.54798706],"[21, 22, 23, 8, 13, 17, 11, 16, 19, 18, 4, 3, 6, 9, 10, 12, 14, 15, 20, 25, 24, 2, 1, 7, 5]","(7.0, 417.91786597106125)"
32,202,[  7.         421.01402755],[0.         1.14786922],[  7.         417.91786597],[  7.         422.54798706],"[21, 22, 23, 8, 13, 17, 11, 16, 19, 18, 4, 3, 6, 9, 10, 12, 14, 15, 20, 25, 24, 2, 1, 7, 5]","(7.0, 417.91786597106125)"
33,212,[  7.         420.08903556],[0.         0.63902621],[  7.         417.53501676],[  7.         420.53469056],"[20, 22, 23, 8, 13, 18, 11, 15, 19, 17, 4, 3, 6, 9, 10, 12, 14, 16, 21, 25, 24, 2, 1, 7, 5]","(7.0, 417.5350167563855)"
34,220,[  7.         419.58440546],[0.         0.70429018],[  7.        416.8804791],[  7.         420.53469056],"[21, 22, 23, 8, 13, 18, 11, 16, 19, 17, 7, 4, 6, 9, 10, 12, 14, 15, 20, 25, 24, 2, 1, 3, 5]","(7.0, 416.8804790991107)"
35,224,[  7.         418.99532893],[0.         0.56788048],[  7.        416.8804791],[  7.        419.7551814],"[21, 22, 23, 8, 13, 18, 11, 16, 19, 17, 7, 4, 6, 9, 10, 12, 14, 15, 20, 25, 24, 2, 1, 3, 5]","(7.0, 416.8804790991107)"
36,214,[  7.       418.694755],[0.         0.72880416],[  7.        416.8804791],[  7.         419.19224898],"[21, 22, 23, 8, 13, 18, 11, 16, 19, 17, 7, 4, 6, 9, 10, 12, 14, 15, 20, 25, 24, 2, 1, 3, 5]","(7.0, 416.8804790991107)"
37,214,[  7.         418.10750207],[0.         0.78524599],[  7.         414.18586291],[  7.         419.19224898],"[21, 22, 23, 8, 13, 17, 11, 16, 19, 18, 7, 3, 6, 9, 10, 12, 14, 15, 20, 25, 24, 2, 1, 4, 5]","(7.0, 414.18586291015214)"
38,212,[  7.        417.5315549],[0.         0.49684985],[  7.         414.18586291],[  7.         417.91786597],"[21, 22, 23, 8, 13, 17, 11, 16, 19, 18, 7, 3, 6, 9, 10, 12, 14, 15, 20, 25, 24, 2, 1, 4, 5]","(7.0, 414.18586291015214)"
39,228,[  7.         417.15660106],[0.         0.51308508],[  7.         414.18586291],[  7.        417.6425959],"[21, 22, 23, 8, 13, 17, 11, 16, 19, 18, 7, 3, 6, 9, 10, 12, 14, 15, 20, 25, 24, 2, 1, 4, 5]","(7.0, 414.18586291015214)"
40,194,[  7.         416.77133644],[0.         0.51415119],[  7.         414.18586291],[  7.        416.8804791],"[21, 22, 23, 8, 13, 17, 11, 16, 19, 18, 7, 3, 6, 9, 10, 12, 14, 15, 20, 25, 24, 2, 1, 4, 5]","(7.0, 414.18586291015214)"
41,206,[  7.         416.64469364],[0.         0.76499211],[  7.         411.42424648],[  7.        416.8804791],"[21, 22, 23, 8, 13, 18, 11, 15, 19, 17, 7, 4, 6, 9, 10, 12, 14, 16, 20, 25, 24, 2, 1, 3, 5]","(7.0, 411.4242464801107)"
42,218,[  7.         416.37353086],[0.         1.04883267],[  7.         411.42424648],[  7.        416.8804791],"[21, 22, 23, 8, 13, 18, 11, 15, 19, 17, 7, 4, 6, 9, 10, 12, 14, 16, 20, 25, 24, 2, 1, 3, 5]","(7.0, 411.4242464801107)"
43,210,[  7.         415.76365173],[0.         1.32964275],[  7.         411.42424648],[  7.        416.8804791],"[21, 22, 23, 8, 13, 18, 11, 15, 19, 17, 7, 4, 6, 9, 10, 12, 14, 16, 20, 25, 24, 2, 1, 3, 5]","(7.0, 411.4242464801107)"
44,214,[  7.         414.72329985],[0.         1.19024465],[  7.         410.06565394],[  7.         416.51437255],"[21, 22, 23, 10, 17, 13, 11, 16, 19, 18, 4, 3, 6, 9, 8, 12, 14, 15, 20, 25, 24, 2, 1, 5, 7]","(7.0, 410.06565393932425)"
45,196,[  7.         413.91536888],[0.         0.85656868],[  7.         410.06565394],[  7.         414.28685782],"[21, 22, 23, 10, 17, 13, 11, 16, 19, 18, 4, 3, 6, 9, 8, 12, 14, 15, 20, 25, 24, 2, 1, 5, 7]","(7.0, 410.06565393932425)"
46,200,[  7.         413.52143507],[0.         1.23808885],[  7.         409.41094998],[  7.         414.18586291],"[21, 22, 23, 8, 18, 13, 11, 15, 19, 17, 7, 4, 6, 9, 10, 12, 14, 16, 20, 25, 24, 2, 1, 3, 5]","(7.0, 409.4109499833946)"
47,216,[  7.         412.81661065],[0.         1.47281961],[  7.         409.41094998],[  7.         414.18586291],"[21, 22, 23, 8, 18, 13, 11, 15, 19, 17, 7, 4, 6, 9, 10, 12, 14, 16, 20, 25, 24, 2, 1, 3, 5]","(7.0, 409.4109499833946)"
48,220,[  7.         411.55380698],[0.        0.9538094],[  7.         409.41094998],[  7.         414.18586291],"[21, 22, 23, 8, 18, 13, 11, 15, 19, 17, 7, 4, 6, 9, 10, 12, 14, 16, 20, 25, 24, 2, 1, 3, 5]","(7.0, 409.4109499833946)"
49,208,[  7.         411.08700572],[0.         0.72206075],[  7.         405.84498893],[  7.         411.42424648],"[21, 22, 23, 10, 17, 13, 11, 16, 19, 18, 5, 4, 6, 9, 8, 12, 14, 15, 20, 25, 24, 2, 1, 3, 7]","(7.0, 405.8449889263517)"
50,210,[  7.         410.68940344],[0.         1.17377777],[  7.        398.6859495],[  7.         411.42424648],"[21, 22, 23, 13, 17, 10, 11, 16, 19, 18, 4, 3, 6, 9, 8, 12, 14, 15, 20, 25, 24, 2, 1, 5, 7]","(7.0, 398.68594950387904)"
51,212,[  7.         409.89927457],[0.         1.54747356],[  7.        398.6859495],[  7.         411.42424648],"[21, 22, 23, 13, 17, 10, 11, 16, 19, 18, 4, 3, 6, 9, 8, 12, 14, 15, 20, 25, 24, 2, 1, 5, 7]","(7.0, 398.68594950387904)"
52,220,[  7.         409.28711979],[0.         1.89755266],[  7.        398.6859495],[  7.         410.06565394],"[21, 22, 23, 13, 17, 10, 11, 16, 19, 18, 4, 3, 6, 9, 8, 12, 14, 15, 20, 25, 24, 2, 1, 5, 7]","(7.0, 398.68594950387904)"
53,212,[  7.         408.46427522],[0.         2.42381247],[  7.        398.6859495],[  7.         410.06565394],"[21, 22, 23, 13, 17, 10, 11, 16, 19, 18, 4, 3, 6, 9, 8, 12, 14, 15, 20, 25, 24, 2, 1, 5, 7]","(7.0, 398.68594950387904)"
54,220,[  7.         406.86486639],[0.         2.77282333],[  7.        398.6859495],[  7.         409.41094998],"[21, 22, 23, 13, 17, 10, 11, 16, 19, 18, 4, 3, 6, 9, 8, 12, 14, 15, 20, 25, 24, 2, 1, 5, 7]","(7.0, 398.68594950387904)"
55,218,[  7.         404.65340728],[0.         2.62768824],[  7.        398.6859495],[  7.         405.84498893],"[21, 22, 23, 13, 17, 10, 11, 16, 19, 18, 4, 3, 6, 9, 8, 12, 14, 15, 20, 25, 24, 2, 1, 5, 7]","(7.0, 398.68594950387904)"
56,204,[  7.         403.31620907],[0.         3.35919603],[  7.        398.6859495],[  7.         405.84498893],"[21, 22, 23, 13, 17, 10, 11, 16, 19, 18, 4, 3, 6, 9, 8, 12, 14, 15, 20, 25, 24, 2, 1, 5, 7]","(7.0, 398.68594950387904)"
57,234,[  7.         400.76119397],[0.         3.12574365],[  7.         397.24715475],[  7.         405.84498893],"[21, 22, 23, 13, 17, 18, 11, 16, 19, 10, 4, 3, 6, 9, 8, 12, 14, 15, 20, 25, 24, 2, 1, 5, 7]","(7.0, 397.24715474588385)"
58,206,[  7.         398.66903737],[0.         0.14509458],[  7.         397.24715475],[  7.        398.6859495],"[21, 22, 23, 13, 17, 18, 11, 16, 19, 10, 4, 3, 6, 9, 8, 12, 14, 15, 20, 25, 24, 2, 1, 5, 7]","(7.0, 397.24715474588385)"
59,198,[  7.         398.62612575],[0.         0.31049001],[  7.         395.33021143],[  7.        398.6859495],"[21, 22, 23, 13, 17, 10, 11, 16, 19, 18, 3, 4, 6, 9, 8, 12, 14, 15, 20, 25, 24, 2, 1, 5, 7]","(7.0, 395.3302114262371)"
60,192,[  7.         398.52734498],[0.         0.49675636],[  7.         395.33021143],[  7.        398.6859495],"[21, 22, 23, 13, 17, 10, 11, 16, 19, 18, 3, 4, 6, 9, 8, 12, 14, 15, 20, 25, 24, 2, 1, 5, 7]","(7.0, 395.3302114262371)"
61,214,[  7.         398.30151215],[0.        0.7290941],[  7.         395.33021143],[  7.        398.6859495],"[21, 22, 23, 13, 17, 10, 11, 16, 19, 18, 3, 4, 6, 9, 8, 12, 14, 15, 20, 25, 24, 2, 1, 5, 7]","(7.0, 395.3302114262371)"
62,198,[  7.         397.86165303],[0.         0.88019559],[  7.         395.33021143],[  7.        398.6859495],"[21, 22, 23, 13, 17, 10, 11, 16, 19, 18, 3, 4, 6, 9, 8, 12, 14, 15, 20, 25, 24, 2, 1, 5, 7]","(7.0, 395.3302114262371)"
63,198,[  7.         397.09127289],[0.         0.78462147],[  7.         394.34207487],[  7.         398.43353065],"[21, 22, 23, 13, 17, 11, 10, 16, 19, 18, 4, 3, 6, 9, 8, 12, 14, 15, 20, 24, 25, 2, 1, 5, 7]","(7.0, 394.34207487266633)"
64,200,[  7.         396.67042988],[0.         0.94797534],[  7.         391.23875565],[  7.         397.24715475],"[21, 22, 23, 13, 17, 11, 10, 16, 19, 18, 3, 4, 6, 9, 8, 12, 14, 15, 20, 25, 24, 2, 1, 5, 7]","(7.0, 391.23875565173734)"
65,212,[  7.         396.06846382],[0.        1.0528084],[  7.         391.23875565],[  7.         397.24715475],"[21, 22, 23, 13, 17, 11, 10, 16, 19, 18, 3, 4, 6, 9, 8, 12, 14, 15, 20, 25, 24, 2, 1, 5, 7]","(7.0, 391.23875565173734)"
66,216,[  7.        395.2204527],[0.         0.54471904],[  7.         391.23875565],[  7.         395.33021143],"[21, 22, 23, 13, 17, 11, 10, 16, 19, 18, 3, 4, 6, 9, 8, 12, 14, 15, 20, 25, 24, 2, 1, 5, 7]","(7.0, 391.23875565173734)"
67,204,[  7.         395.05139359],[0.         0.85922629],[  7.         391.23875565],[  7.         395.33021143],"[21, 22, 23, 13, 17, 11, 10, 16, 19, 18, 3, 4, 6, 9, 8, 12, 14, 15, 20, 25, 24, 2, 1, 5, 7]","(7.0, 391.23875565173734)"
68,200,[  7.         394.75899654],[0.         1.12636826],[  7.         391.23875565],[  7.         395.33021143],"[21, 22, 23, 13, 17, 11, 10, 16, 19, 18, 3, 4, 6, 9, 8, 12, 14, 15, 20, 25, 24, 2, 1, 5, 7]","(7.0, 391.23875565173734)"
69,202,[  7.         394.15293706],[0.         1.36129677],[  7.         389.87397881],[  7.         395.33021143],"[21, 22, 23, 13, 17, 10, 11, 15, 19, 18, 3, 4, 6, 9, 8, 12, 14, 16, 20, 25, 24, 2, 1, 5, 7]","(7.0, 389.8739788072371)"
70,210,[  7.         393.12278859],[0.         1.30864012],[  7.         389.87397881],[  7.         394.34207487],"[21, 22, 23, 13, 17, 10, 11, 15, 19, 18, 3, 4, 6, 9, 8, 12, 14, 16, 20, 25, 24, 2, 1, 5, 7]","(7.0, 389.8739788072371)"
71,206,[  7.         392.03628684],[0.         0.97244843],[  7.         389.87397881],[  7.         393.89141667],"[21, 22, 23, 13, 17, 10, 11, 15, 19, 18, 3, 4, 6, 9, 8, 12, 14, 16, 20, 25, 24, 2, 1, 5, 7]","(7.0, 389.8739788072371)"
72,220,[  7.        391.2653821],[0.         0.44324314],[  7.         389.36032307],[  7.         392.71606115],"[21, 22, 23, 13, 17, 18, 11, 15, 19, 10, 3, 4, 6, 9, 8, 12, 14, 16, 20, 25, 24, 2, 1, 5, 7]","(7.0, 389.36032307437176)"
73,200,[  7.         391.09814773],[0.         0.42287595],[  7.         389.36032307],[  7.         391.23875565],"[21, 22, 23, 13, 17, 18, 11, 15, 19, 10, 3, 4, 6, 9, 8, 12, 14, 16, 20, 25, 24, 2, 1, 5, 7]","(7.0, 389.36032307437176)"
74,202,[  7.         390.88123163],[0.         0.67189117],[  7.         385.78252303],[  7.         391.23875565],"[21, 22, 23, 13, 17, 11, 10, 15, 19, 18, 3, 4, 6, 9, 8, 12, 14, 16, 20, 25, 24, 2, 1, 5, 7]","(7.0, 385.7825230327374)"
75,200,[  7.         390.47256374],[0.         0.84600266],[  7.         385.78252303],[  7.         391.23875565],"[21, 22, 23, 13, 17, 11, 10, 15, 19, 18, 3, 4, 6, 9, 8, 12, 14, 16, 20, 25, 24, 2, 1, 5, 7]","(7.0, 385.7825230327374)"
76,200,[  7.         389.69288276],[0.         0.71024191],[  7.         385.78252303],[  7.         390.37382872],"[21, 22, 23, 13, 17, 11, 10, 15, 19, 18, 3, 4, 6, 9, 8, 12, 14, 16, 20, 25, 24, 2, 1, 5, 7]","(7.0, 385.7825230327374)"
77,226,[  7.         389.44031573],[0.       1.053083],[  7.         385.78252303],[  7.         389.87397881],"[21, 22, 23, 13, 17, 11, 10, 15, 19, 18, 3, 4, 6, 9, 8, 12, 14, 16, 20, 25, 24, 2, 1, 5, 7]","(7.0, 385.7825230327374)"
78,228,[  7.         389.01281512],[0.         1.36012312],[  7.         385.78252303],[  7.         389.87397881],"[21, 22, 23, 13, 17, 11, 10, 15, 19, 18, 3, 4, 6, 9, 8, 12, 14, 16, 20, 25, 24, 2, 1, 5, 7]","(7.0, 385.7825230327374)"
79,200,[  7.         388.21681493],[0.         1.65820114],[  7.         385.78252303],[  7.         389.36032307],"[21, 22, 23, 13, 17, 11, 10, 15, 19, 18, 3, 4, 6, 9, 8, 12, 14, 16, 20, 25, 24, 2, 1, 5, 7]","(7.0, 385.7825230327374)"
80,208,[  7.         387.01362607],[0.         1.67800809],[  7.         385.78252303],[  7.         389.36032307],"[21, 22, 23, 13, 17, 11, 10, 15, 19, 18, 3, 4, 6, 9, 8, 12, 14, 16, 20, 25, 24, 2, 1, 5, 7]","(7.0, 385.7825230327374)"
81,210,[  7.         385.78168164],[0.        0.0145491],[  7.         385.53010418],[  7.         385.78252303],"[21, 22, 23, 13, 17, 11, 10, 15, 19, 18, 3, 4, 6, 9, 8, 12, 14, 16, 20, 24, 25, 2, 1, 5, 7]","(7.0, 385.53010417602445)"
82,220,[  7.         385.77357683],[0.         0.09270688],[  7.         384.46842604],[  7.         385.78252303],"[21, 22, 20, 13, 17, 11, 10, 15, 19, 18, 3, 4, 6, 9, 8, 12, 14, 16, 23, 25, 24, 2, 1, 5, 7]","(7.0, 384.4684260374683)"
83,196,[  7.         385.75568442],[0.         0.15907071],[  7.         384.46842604],[  7.         385.78252303],"[21, 22, 20, 13, 17, 11, 10, 15, 19, 18, 3, 4, 6, 9, 8, 12, 14, 16, 23, 25, 24, 2, 1, 5, 7]","(7.0, 384.4684260374683)"
84,208,[  7.         385.71383648],[0.        0.2493698],[  7.         384.46842604],[  7.         385.78252303],"[21, 22, 20, 13, 17, 11, 10, 15, 19, 18, 3, 4, 6, 9, 8, 12, 14, 16, 23, 25, 24, 2, 1, 5, 7]","(7.0, 384.4684260374683)"
85,232,[  7.         385.63968068],[0.         0.34233909],[  7.         384.46842604],[  7.         385.78252303],"[21, 22, 20, 13, 17, 11, 10, 15, 19, 18, 3, 4, 6, 9, 8, 12, 14, 16, 23, 25, 24, 2, 1, 5, 7]","(7.0, 384.4684260374683)"
86,192,[  7.         385.46620105],[0.        0.4438481],[  7.         384.46842604],[  7.         385.78252303],"[21, 22, 20, 13, 17, 11, 10, 15, 19, 18, 3, 4, 6, 9, 8, 12, 14, 16, 23, 25, 24, 2, 1, 5, 7]","(7.0, 384.4684260374683)"
87,202,[  7.         385.12425262],[0.         0.44397618],[  7.         384.46842604],[  7.         385.78252303],"[21, 22, 20, 13, 17, 11, 10, 15, 19, 18, 3, 4, 6, 9, 8, 12, 14, 16, 23, 25, 24, 2, 1, 5, 7]","(7.0, 384.4684260374683)"
88,204,[  7.         384.70498894],[0.         0.22426539],[  7.         384.46842604],[  7.        384.9175961],"[21, 22, 20, 13, 17, 11, 10, 15, 19, 18, 3, 4, 6, 9, 8, 12, 14, 16, 23, 25, 24, 2, 1, 5, 7]","(7.0, 384.4684260374683)"
89,220,[  7.         384.49928828],[0.         0.11291745],[  7.         384.46842604],[  7.        384.9175961],"[21, 22, 20, 13, 17, 11, 10, 15, 19, 18, 3, 4, 6, 9, 8, 12, 14, 16, 23, 25, 24, 2, 1, 5, 7]","(7.0, 384.4684260374683)"
90,194,[  7.         384.46842604],[0.00000000e+00 1.64845915e-12],[  7.         384.46842604],[  7.         384.46842604],"[21, 22, 20, 13, 17, 11, 10, 15, 19, 18, 3, 4, 6, 9, 8, 12, 14, 16, 23, 25, 24, 2, 1, 5, 7]","(7.0, 384.4684260374683)"
91,204,[  7.         384.46842604],[0.00000000e+00 1.64845915e-12],[  7.         384.46842604],[  7.         384.46842604],"[21, 22, 20, 13, 17, 11, 10, 15, 19, 18, 3, 4, 6, 9, 8, 12, 14, 16, 23, 25, 24, 2, 1, 5, 7]","(7.0, 384.4684260374683)"
92,224,[  7.         384.46842604],[0.00000000e+00 1.64845915e-12],[  7.         384.46842604],[  7.         384.46842604],"[21, 22, 20, 13, 17, 11, 10, 15, 19, 18, 3, 4, 6, 9, 8, 12, 14, 16, 23, 25, 24, 2, 1, 5, 7]","(7.0, 384.4684260374683)"
93,208,[  7.         384.46842604],[0.00000000e+00 1.64845915e-12],[  7.         384.46842604],[  7.         384.46842604],"[21, 22, 20, 13, 17, 11, 10, 15, 19, 18, 3, 4, 6, 9, 8, 12, 14, 16, 23, 25, 24, 2, 1, 5, 7]","(7.0, 384.4684260374683)"
94,194,[  7.         384.46842604],[0.00000000e+00 1.64845915e-12],[  7.         384.46842604],[  7.         384.46842604],"[21, 22, 20, 13, 17, 11, 10, 15, 19, 18, 3, 4, 6, 9, 8, 12, 14, 16, 23, 25, 24, 2, 1, 5, 7]","(7.0, 384.4684260374683)"
95,216,[  7.         384.46842604],[0.00000000e+00 1.64845915e-12],[  7.         384.46842604],[  7.         384.46842604],"[21, 22, 20, 13, 17, 11, 10, 15, 19, 18, 3, 4, 6, 9, 8, 12, 14, 16, 23, 25, 24, 2, 1, 5, 7]","(7.0, 384.4684260374683)"
96,216,[  7.         384.46842604],[0.00000000e+00 1.64845915e-12],[  7.         384.46842604],[  7.         384.46842604],"[21, 22, 20, 13, 17, 11, 10, 15, 19, 18, 3, 4, 6, 9, 8, 12, 14, 16, 23, 25, 24, 2, 1, 5, 7]","(7.0, 384.4684260374683)"
97,218,[  7.         384.46554295],[0.         0.04985328],[  7.        383.6034991],[  7.         384.46842604],"[21, 22, 20, 13, 17, 11, 10, 15, 19, 18, 5, 4, 6, 9, 8, 12, 14, 16, 23, 25, 24, 2, 1, 3, 7]","(7.0, 383.6034991021377)"
