Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,300,[  7.67666667 674.52855602],[ 0.50871297 43.34319235],[  7.         510.27496446],[  9.         779.71122607],"[21, 22, 5, 8, 13, 18, 23, 16, 19, 17, 10, 3, 6, 11, 4, 7, 14, 15, 9, 25, 24, 2, 1, 12, 20]","(7.0, 510.27496445602105)"
1,208,[  7.43333333 629.90137447],[ 0.50881125 28.57655126],[  7.         471.83030384],[  9.         671.06865492],"[21, 22, 5, 8, 13, 18, 23, 16, 19, 17, 10, 3, 6, 11, 4, 12, 14, 15, 9, 25, 24, 2, 1, 7, 20]","(7.0, 471.8303038438428)"
2,208,[  7.29666667 602.09637351],[ 0.4567883  23.44688007],[  7.         471.83030384],[  8.         627.78701864],"[21, 22, 5, 8, 13, 18, 23, 16, 19, 17, 10, 3, 6, 11, 4, 12, 14, 15, 9, 25, 24, 2, 1, 7, 20]","(7.0, 471.8303038438428)"
3,214,[  7.16666667 581.32200744],[ 0.372678   25.17581849],[  7.         471.83030384],[  8.         603.16268211],"[21, 22, 5, 8, 13, 18, 23, 16, 19, 17, 10, 3, 6, 11, 4, 12, 14, 15, 9, 25, 24, 2, 1, 7, 20]","(7.0, 471.8303038438428)"
4,212,[  7.10666667 557.42562028],[ 0.30868898 26.72299202],[  7.         471.83030384],[  8.         587.73219576],"[21, 22, 5, 8, 13, 18, 23, 16, 19, 17, 10, 3, 6, 11, 4, 12, 14, 15, 9, 25, 24, 2, 1, 7, 20]","(7.0, 471.8303038438428)"
5,210,[  7.05666667 533.19801671],[ 0.23120458 24.45855098],[  7.         471.83030384],[  8.         556.10601752],"[21, 22, 5, 8, 13, 18, 23, 16, 19, 17, 10, 3, 6, 11, 4, 12, 14, 15, 9, 25, 24, 2, 1, 7, 20]","(7.0, 471.8303038438428)"
6,188,[  7.01       508.03452574],[ 0.09949874 19.00688035],[  7.         458.49370453],[  8.         539.42173357],"[21, 22, 5, 8, 13, 18, 23, 16, 19, 17, 10, 3, 6, 11, 4, 9, 14, 15, 12, 25, 24, 2, 1, 7, 20]","(7.0, 458.493704527349)"
7,210,[  7.00666667 493.00664034],[ 0.08137704 17.75005326],[  7.         458.49370453],[  8.         510.27496446],"[21, 22, 5, 8, 13, 18, 23, 16, 19, 17, 10, 3, 6, 11, 4, 9, 14, 15, 12, 25, 24, 2, 1, 7, 20]","(7.0, 458.493704527349)"
8,214,[  7.01333333 475.46665633],[0.11469767 8.98988674],[  7.         453.55282493],[  8.         500.16208675],"[21, 22, 5, 8, 13, 18, 9, 16, 19, 17, 10, 3, 6, 11, 4, 12, 14, 15, 23, 25, 24, 2, 1, 7, 20]","(7.0, 453.5528249279141)"
9,208,[  7.         470.24874443],[0.         3.71059437],[  7.         453.55282493],[  7.         471.83030384],"[21, 22, 5, 8, 13, 18, 9, 16, 19, 17, 10, 3, 6, 11, 4, 12, 14, 15, 23, 25, 24, 2, 1, 7, 20]","(7.0, 453.5528249279141)"
10,200,[  7.         468.17349271],[0.         4.81531765],[  7.         453.55282493],[  7.         471.83030384],"[21, 22, 5, 8, 13, 18, 9, 16, 19, 17, 10, 3, 6, 11, 4, 12, 14, 15, 23, 25, 24, 2, 1, 7, 20]","(7.0, 453.5528249279141)"
11,216,[  7.00666667 464.0144244 ],[0.08137704 5.05497786],[  7.         449.42263672],[  8.         471.00914795],"[21, 22, 5, 8, 13, 18, 23, 16, 19, 17, 10, 11, 6, 3, 4, 9, 14, 15, 12, 25, 24, 2, 1, 7, 20]","(7.0, 449.4226367154836)"
12,198,[  7.         459.36027575],[0.         3.59039981],[  7.         444.48175712],[  7.         464.54691691],"[21, 22, 5, 8, 13, 18, 9, 16, 19, 17, 4, 3, 6, 11, 10, 12, 14, 15, 23, 25, 24, 2, 1, 7, 20]","(7.0, 444.4817571160486)"
13,214,[  7.         456.42950704],[0.         3.02469804],[  7.         444.48175712],[  7.         458.49370453],"[21, 22, 5, 8, 13, 18, 9, 16, 19, 17, 4, 3, 6, 11, 10, 12, 14, 15, 23, 25, 24, 2, 1, 7, 20]","(7.0, 444.4817571160486)"
14,198,[  7.        454.0262085],[0.         3.22553498],[  7.         442.24363061],[  7.         458.49370453],"[21, 22, 5, 8, 13, 18, 20, 16, 19, 17, 10, 4, 6, 11, 3, 12, 14, 15, 23, 25, 24, 2, 1, 7, 9]","(7.0, 442.2436306067843)"
15,200,[  7.         451.57064395],[0.         2.98163036],[  7.         440.47484615],[  7.         453.55282493],"[21, 22, 20, 8, 13, 18, 9, 16, 19, 17, 10, 3, 6, 11, 4, 12, 14, 15, 23, 25, 24, 2, 1, 7, 5]","(7.0, 440.47484614551774)"
16,218,[  7.         449.02601409],[0.         3.34521242],[  7.         431.40377833],[  7.         453.55282493],"[21, 22, 20, 8, 13, 18, 9, 16, 19, 17, 4, 3, 6, 11, 10, 12, 14, 15, 23, 25, 24, 2, 1, 7, 5]","(7.0, 431.4037783336523)"
17,188,[  7.         446.10309609],[0.         2.86135787],[  7.         431.40377833],[  7.         449.42263672],"[21, 22, 20, 8, 13, 18, 9, 16, 19, 17, 4, 3, 6, 11, 10, 12, 14, 15, 23, 25, 24, 2, 1, 7, 5]","(7.0, 431.4037783336523)"
18,198,[  7.         443.98384512],[0.         2.74155833],[  7.         431.40377833],[  7.         446.30039813],"[21, 22, 20, 8, 13, 18, 9, 16, 19, 17, 4, 3, 6, 11, 10, 12, 14, 15, 23, 25, 24, 2, 1, 7, 5]","(7.0, 431.4037783336523)"
19,208,[  7.         442.08561862],[0.         3.55147257],[  7.        427.5303862],[  7.         444.48175712],"[21, 22, 20, 8, 13, 18, 11, 16, 19, 17, 4, 3, 6, 9, 10, 12, 14, 15, 23, 25, 24, 2, 1, 7, 5]","(7.0, 427.5303861992403)"
